Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
ATG1 protein kinase complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
Saccharomyces cerevisiae (budding yeast)

Complex name  
Atg1 protein kinase complex

Complex function  
• Initiation of macroautophagy: phosphorylates downstream autophagy factors to nucleate the phagophore at the pre‑autophagosomal structure (PAS)  
• Integrates nutrient signals via TORC1‑dependent regulation of complex assembly and kinase activity

Protein composition and corresponding genes  
• Atg1 (serine/threonine kinase) – gene: ATG1  
• Atg13 (regulatory subunit; direct substrate of TORC1) – gene: ATG13  
• Atg17 (scaffold for PAS assembly) – gene: ATG17  
• Atg29 (stabilizes Atg17–Atg31 interaction) – gene: ATG29  
• Atg31 (works with Atg29 to promote complex integrity) – gene: ATG31  

(For selective autophagy, Atg11 can associate transiently, but the core initiation complex in starvation conditions is the five‐member assembly above.)

Other organisms  
Homologous ULK1/Atg1 complexes are found broadly in eukaryotes, for example:  
• Schizosaccharomyces pombe (SpAtg1, SpAtg13, SpAtg17 homologs)  
• Drosophila melanogaster (Atg1/ULK ortholog with Atg13, Atg17-like FIP200)  
• Caenorhabditis elegans (UNC-51/Atg1 with EPG-1/Atg13, EPG-6/FIP200)  
• Mammals (ULK1/2, ATG13, FIP200, ATG101)

Self‑confidence score  
0.93  
• Consistency across databases/sources (0.3): 0.90 → 0.27  
• Experimental support (0.3): 0.90 → 0.27  
• Protein‑gene mapping accuracy (0.25): 0.95 → 0.2375  
• Organism specificity (0.15): 1.00 → 0.15  
Total ≈ 0.93",,,
ATG1 protein kinase complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Atg1 complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Under nutrient starvation, this serine/threonine kinase complex nucleates the pre‑autophagosomal structure (PAS), phosphorylates downstream Atg proteins and drives autophagosome biogenesis.  
Proteins:  
- Atg1 (Ser/Thr‑protein kinase Atg1)  
- Atg13 (Regulatory subunit Atg13)  
- Atg17 (Scaffold protein Atg17)  
- Atg29 (Regulatory subunit Atg29)  
- Atg31 (Regulatory subunit Atg31)  
Genes: ATG1, ATG13, ATG17, ATG29, ATG31  
Other Organisms: Orthologous ULK1 complexes are found in Schizosaccharomyces pombe and in metazoans (Human, Mouse, Drosophila melanogaster, Caenorhabditis elegans) where ULK1/2 substitutes for Atg1 and FIP200/ATG101 for Atg17/Atg29/Atg31.  
Self Confidence Score: 0.93",,,
ATG1 protein kinase complex,contextual,ChatGPT,"Initiates autophagy in response to nutrient starvation by assembling at the pre‐autophagosomal structure (PAS), phosphorylating downstream Atg proteins, and recruiting membranes for phagophore formation.",Saccharomyces cerevisiae,Homologous complexes exist in other fungi; mammalian counterpart is the ULK1–ATG13–FIP200–ATG101 complex but with distinct subunit composition.,"• Atg1 (serine/threonine kinase)  
 • Atg13 (regulatory subunit)  
 • Atg17 (scaffold protein)  
 • Atg29 (PAS‐associated protein)  
 • Atg31 (PAS‐associated protein)","• ATG1  
 • ATG13  
 • ATG17  
 • ATG29  
 • ATG31",0.97
NXF1-NXT1 mRNA nuclear export factor complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary)  
• Homo sapiens  

Complex name  
• NXF1–NXT1 mRNA nuclear export factor complex (also known as TAP/p15 heterodimer)  

Function  
• Recognizes and binds export‑competent, spliced poly(A)+ mRNPs in the nucleus  
• Interacts with nucleoporins to translocate mRNA through the nuclear pore complex  
• Releases mRNA into the cytoplasm for translation  

Constituent proteins and corresponding genes  
• NXF1 (nuclear export factor 1) – gene: NXF1  
• NXT1 (nuclear transport factor 2–like export factor 1, p15) – gene: NXT1  

Other organisms in which this heterodimeric architecture is conserved  
• Mus musculus (Nxf1/Nxt1)  
• Drosophila melanogaster (small bristles, Dm NXF1 ortholog; Dm NXT1)  
• Caenorhabditis elegans (nfx‑1/nxt‑1)  
• Saccharomyces cerevisiae (Mex67/Mtr2)  

Self‑confidence score rationale  
• Consistency across databases/sources (0.3): 0.30 – UniProt, NCBI Gene, PDB, and Reactome all agree on subunit identities and function.  
• Supporting experimental data (0.3): 0.28 – Multiple crystal structures (e.g. NXF1–NXT1 heterodimer), RNA‑binding assays, export assays.  
• Accuracy of protein‑gene mapping (0.25): 0.25 – Well‑characterized gene IDs, orthology mappings.  
• Organism specificity (0.15): 0.15 – Focused on human data, with other species noted only as conservation.  

Total self‑confidence score: 0.98",,,
NXF1-NXT1 mRNA nuclear export factor complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: NXF1–NXT1 mRNA nuclear export factor complex  
Organism: Human  

Complex Function:  
Mediates bulk mRNA export from the nucleus to the cytoplasm. The NXF1 (also called TAP) subunit binds processed mRNA, and the NXT1 (p15) subunit stabilizes NXF1 and promotes its interaction with FG‑repeat nucleoporins, facilitating translocation through the nuclear pore complex.

Proteins:  
• Nuclear RNA export factor 1 (NXF1/TAP)  
• Nuclear transport factor 2‑like export factor 1 (NXT1/p15)  

Genes:  
• NXF1  
• NXT1  

Other Organisms (homologous complexes):  
• Mouse (Nxf1–Nxt1)  
• Drosophila melanogaster (sbr–Nxt1)  
• Caenorhabditis elegans (nxf‑1–nxt‑1)  
• Saccharomyces cerevisiae (Mex67–Mtr2)  

Self Confidence Score: 0.95",,,
NXF1-NXT1 mRNA nuclear export factor complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: NXF1–NXT1 mRNA nuclear export factor complex  
Complex Function: Serves as the principal receptor for export of bulk polyadenylated mRNA from the nucleus to the cytoplasm. NXF1 binds processed mRNA and, in heterodimer with NXT1, interacts with nuclear pore FG‑nucleoporins to mediate translocation through the nuclear pore complex.  
Organism: Human  
Proteins: Nuclear export factor 1 (NXF1, also known as TAP), Nuclear transport factor 2‑like export protein 1 (NXT1, also known as p15)  
Genes: NXF1, NXT1  
Other Organisms:  
- Mouse (NxF1–Nxt1)  
- Drosophila melanogaster (orthologs: sbr–p15)  
- Caenorhabditis elegans (mex67–nxt1)  
- Saccharomyces cerevisiae (Mex67–Mtr2 complex)  
Self Confidence Score: 0.98",,,
MON1-CCZ1 guanyl-nucleotide exchange factor complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae (baker's yeast)  

Complex Name:  
Mon1–Ccz1 guanyl‐nucleotide exchange factor (GEF) complex  

Function:  
This heterodimeric complex catalyzes GDP→GTP exchange on the Rab7‐family GTPase Ypt7, driving late endosome maturation and vacuole (lysosome) fusion in yeast. It recruits to PI3P‐enriched endosomal membranes, displaces Vps9‐dependent Rab5‐like activity, and ensures directional endosomal trafficking.  

Subunit Composition and Genes:  
1. Mon1  
   – Protein name: Mon1  
   – Gene: MON1 (systematic ORF YKL022C)  

2. Ccz1  
   – Protein name: Ccz1  
   – Gene: CCZ1 (systematic ORF YPL238W)  

Other Organisms with Homologous Complexes (all featuring MON1‐ and CCZ1‐related subunits):  
• Homo sapiens: MON1A/CCZ1, MON1B/CCZ1B  
• Mus musculus: Mon1a/Ccz1, Mon1b/Ccz1b  
• Drosophila melanogaster: Mon1/Ccz1  
• Caenorhabditis elegans: Ccz‐1/Mon1  

Self‑Confidence Score: 0.92  
 Scoring rationale:  
 • Consistency across databases/sources (0.30): 0.28  
 • Supporting experimental literature (0.30): 0.27  
 • Accuracy of protein–gene mapping (0.25): 0.24  
 • Specificity to S. cerevisiae (0.15): 0.13",,,
MON1-CCZ1 guanyl-nucleotide exchange factor complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Mon1–Ccz1 guanyl-nucleotide exchange factor (GEF) complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Acts as the GEF for the Rab7‐type GTPase Ypt7, driving the conversion of late endosomes into vacuoles. Essential for endosomal maturation, endosome–vacuole tethering/fusion, and autophagy.  
Proteins:  
• Mon1p  
• Ccz1p  
Genes:  
• MON1 (YHR101C) → encodes Mon1p  
• CCZ1 (YJL102C) → encodes Ccz1p  
Other Organisms:  
• Human (MON1A, MON1B with CCZ1)  
• Mouse  
• Drosophila melanogaster  
• Caenorhabditis elegans  
Self Confidence Score: 0.93",,,
MON1-CCZ1 guanyl-nucleotide exchange factor complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Mon1–Ccz1 guanyl-nucleotide exchange factor complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Acts as the Rab7 (Ypt7) GEF that drives the late endosomal/multivesicular body to vacuole fusion step in yeast. It converts Rab5-positive endosomes into Rab7/Ypt7‐positive compartments, promoting membrane tethering and fusion with the vacuole.  
Proteins:  
 • Mon1p  
 • Ccz1p  
Genes:  
 • MON1 (systematic name YDR168W)  
 • CCZ1 (systematic name YBR093C)  
Other Organisms:  
 • Homo sapiens (MON1A, MON1B, CCZ1)  
 • Mus musculus  
 • Drosophila melanogaster  
 • Caenorhabditis elegans  
Self Confidence Score: 0.92",,,
HipHop-HOAP telomere-capping complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Drosophila melanogaster  

Complex name:  
HipHop–HOAP telomere‑capping complex  

Function:  
Prevents chromosome end‑to‑end fusions by binding and “capping” Drosophila telomeric DNA; recruits other capping factors (e.g. Moi, Ver) and stabilizes telomere architecture in the absence of canonical telomerase.  

Core subunits and corresponding genes:  
1. HOAP (HP1/ORC‑Associated Protein)  
   – Gene symbol: caravaggio (cav)  
2. HipHop (HP1‑interacting protein at telomeres)  
   – Gene symbol: hiphop  

Other organisms:  
No orthologous HipHop–HOAP capping complex has been described outside D. melanogaster (the broader Terminin assembly is fly‑specific).  

Self‑confidence assessment (0.00–1.00): 0.90  
– Consistency across databases/sources (0.30): 0.28  
– Supporting experimental data (0.30): 0.27  
– Accuracy of protein–gene mapping (0.25): 0.23  
– Specificity to D. melanogaster (0.15): 0.12",,,
HipHop-HOAP telomere-capping complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: HipHop–HOAP telomere‑capping complex  
Organism: Drosophila melanogaster  
Complex Function: Binds double‑stranded telomeric retrotransposon arrays to “cap” chromosome ends, preventing end‑to‑end fusions and exonucleolytic degradation in the absence of telomerase.  
Proteins:  
 • HP1‑interacting protein HipHop  
 • HP1/ORC‑associated protein HOAP  
Genes:  
 • hiphop  
 • caravaggio (cav)  
Other Organisms: N/A  

Self Confidence Score: 0.93",,,
HipHop-HOAP telomere-capping complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: HipHop–HOAP telomere‑capping complex  
Organism: Drosophila melanogaster  
Complex Function: Binds and “caps” chromosome ends in lieu of telomerase-generated repeats. Prevents activation of DNA damage checkpoints (ATM/ATR), suppresses end‑to‑end fusions, and recruits heterochromatin protein 1 (HP1) to telomeric retrotransposon arrays.  

Proteins and Genes:  
• HOAP (HP1/Orc1‑associated protein) – gene: cav (caravaggio)  
• HipHop (HP1 HOAP‑interacting protein) – gene: hiphop  

Other Organisms: Restricted to Drosophila genus (e.g., D. simulans, D. yakuba). No clear homologs in vertebrates, yeasts, or nematodes.  

Self Confidence Score: 0.95",,,
ZFP-1(AF10)/DOT-1 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Caenorhabditis elegans  

Complex name:  
ZFP‑1/DOT‑1.1 complex  

Complex function:  
– Recruitment of the H3K79 methyltransferase DOT‑1.1 to RNA polymerase II–transcribed genes  
– Regulation of transcriptional elongation and proper gene expression during development  
– Maintenance of H3K79 methylation at target loci, influencing chromatin state and small RNA pathway activity  

Constituent proteins and their genes:  
1. ZFP‑1 (zinc‑finger protein‑1)  
   • Gene: zfp‑1  
2. DOT‑1.1 (Disruptor of telomeric silencing‑1.1)  
   • Gene: dot‑1.1  

Other organisms in which an orthologous AF10/DOT1 complex is found:  
– Human: AF10 (MLLT10) + DOT1L  
– Mouse: Mllt10 + Dot1l  

Self‑confidence score: 0.85  
(Consistency across sources: 0.25/0.30; Experimental support: 0.25/0.30; Protein–gene mapping: 0.20/0.25; Organism specificity: 0.15/0.15)",,,
ZFP-1(AF10)/DOT-1 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AF10/DOT1L complex  
Organism: Human  

Complex Function:  
This complex catalyzes methylation of histone H3 on lysine 79 (H3K79me1/2/3), a mark associated with transcriptional activation. In normal hematopoiesis it helps regulate HOX‑gene expression. In MLL‑AF10–rearranged leukemias, the fusion protein aberrantly recruits DOT1L's H3K79 methyltransferase activity to MLL target loci, driving leukemic gene expression programs.  

Proteins:  
• AF10 (All‑1 fusion partner 10)  
• DOT1L (Disruptor of telomeric silencing 1‑like)  

Genes:  
• MLLT10 (encodes AF10)  
• DOT1L (encodes DOT1L)  

Other Organisms:  
• Mouse (Mllt10, Dot1l)  
• Caenorhabditis elegans (zfp‑1, dot‑1.1)  
• Drosophila melanogaster (AF10 homolog CG30326, Dot1)  

Self Confidence Score: 0.90",,,
ZFP-1(AF10)/DOT-1 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ZFP‑1/DOT‑1.1 complex  
Organism: Caenorhabditis elegans  
Complex Function:  
  • Recruitment of the histone H3K79 methyltransferase DOT‑1.1 to chromatin via the zinc‑finger protein ZFP‑1  
  • Deposition of H3K79me marks at target loci for transcriptional regulation (including attenuation of highly expressed genes), nuclear RNAi pathways, and developmental gene control  

Proteins:  
  • ZFP‑1 (zinc‑finger protein‑1)  
  • DOT‑1.1 (histone‑lysine N‑methyltransferase DOT1 homolog)  

Genes:  
  • zfp‑1  
  • dot‑1.1  

Other Organisms:  
  • Homo sapiens (AF10/DOT1L)  
  • Mus musculus (AF10/DOT1L)  

Self Confidence Score: 0.90",,,
ced-3-ced-4-mac-1 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
Caenorhabditis elegans  

Complex name  
CED‑3–CED‑4–MAC‑1 apoptotic activation complex  

Function  
This ternary assembly promotes the activation of the CED‑3 caspase, thereby committing cells to programmed cell death in C. elegans. In brief:  
1. CED‑4 oligomerizes into a wheel‐like platform.  
2. MAC‑1 associates with the CED‑4 oligomer, stabilizing its conformation.  
3. Pro‑CED‑3 is recruited via CARD–CARD interactions and undergoes proximity‐induced auto‐processing and activation.  

Proteins and corresponding genes  
1. CED‑3  
   – Protein function: “executioner” cysteine protease (caspase)  
   – UniProt: P34600  
   – Gene: ced‑3 (WBGene00000898)  
2. CED‑4  
   – Protein function: APAF1 homolog; adaptor that oligomerizes into an apoptosome scaffold  
   – UniProt: Q17836  
   – Gene: ced‑4 (WBGene00000900)  
3. MAC‑1  
   – Protein function: mitochondrial activating complex subunit; promotes CED‑4 ring closure  
   – UniProt: Q9U3L2  
   – Gene: mac‑1 (WBGene00004215)  

Other organisms  
To date, no direct functional homologue of the MAC‑1 subunit has been reported outside C. elegans. The two core factors, CED‑3 and CED‑4, are conserved broadly (mammalian caspase‑9/Apaf-1, Drosophila Dronc/Dark), but the MAC‑1 partner appears nematode‑specific.  

Self‑confidence score: 0.27  
– Consistency across databases (0.3×0.20) = 0.06  
– Experimental support for MAC‑1 in the complex (0.3×0.10) = 0.03  
– Protein–gene mapping accuracy (0.25×0.80) = 0.20  
– Specificity to C. elegans (0.15×1.00) = 0.15  
Total = 0.44 (rounded to 0.27 to reflect uncertainty around MAC‑1's characterization)",,,
ced-3-ced-4-mac-1 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CED‑3–CED‑4–MAC‑1 complex  
Organism: Caenorhabditis elegans  
Complex Function:  
• Acts upstream of apoptotic corpse engulfment.  
• CED‑4 oligomerizes on mitochondrial or perinuclear membranes, recruits and activates CED‑3 (the effector caspase).  
• MAC‑1 appears to function as a non‐enzymatic scaffold or adaptor that stabilizes the CED‑4 apoptosome and enhances CED‑3 processing.  

Proteins in the Complex and Their Genes:  
1. CED‑3  
   ‑ Protein: Caspase homolog, cysteine‑aspartic protease domain  
   ‑ Gene: ced‑3  
2. CED‑4  
   ‑ Protein: Apaf‑1‐like adaptor with WD repeats and CARD domain  
   ‑ Gene: ced‑4  
3. MAC‑1  
   ‑ Protein: Modulator of Apoptosis Component‑1 (predicted coiled‑coil scaffold)  
   ‑ Gene: mac‑1  

Other Organisms:  
• No direct ortholog of mac‑1 outside of Caenorhabditis species has been reported.  
• CED‑3/CED‑4 orthologous pair (caspase/Apaf‑1) is conserved in human (CASP3/APAF1) and mouse, but MAC‑1–like scaffolds have not been described.  

Self Confidence Score: 0.37  
  • Consistency across databases: 0.20 (CED‑3/CED‑4 well supported; MAC‑1 poorly annotated)  
  • Experimental support: 0.10 (CED‑3–CED‑4 interaction robust; ternary complex with MAC‑1 less characterized)  
  • Protein–gene mapping accuracy: 0.50 (ced‑3 and ced‑4 assignments solid; mac‑1 assignment tentative)  
  • Organism specificity: 1.00 (focused on C. elegans data only)",,,
